cell_id,dataset_prefix,source_batch,n_cycles,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,stored_cycle_life,q0,q0_source,eol_80pct_q0_cycle,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_cycle,eol_85pct_q0_label,is_censored_85pct_q0,eol_88ah_cycle,eol_88ah_label,is_censored_88ah,observed_cycle_count,gap_to_stored_cycle_life,needs_relabel,last_valid_qd,merge_status,kept_for_modeling,cycle_life
b1c29,matr,b1,100,1.0818107,0.0023569999999999425,1.0021835119005105,-5.2127198515624496e-06,4.126172800551001e-07,0.004349200000000053,0.0006383999999999279,0.00017412258539275104,-1.9403106663068832,-1.0842291423626462,1.0827931,2.405102040816268e-05,917.0,1.0809752,median_qd_cycles_2_to_5,,917.0,1,872.0,872.0,0,,917.0,1,916,1.0,0,0.88035375,native,1,872.0
b1c3,matr,b1,100,1.0847498,0.005026900000000056,1.0046557315770557,1.71363475572103e-05,1.1898366835261534e-06,0.006530099999999983,0.003996600000000017,0.0005434444620578241,-2.7823052832227857,-0.28291146333548856,1.0843078,5.129489795918425e-05,1434.0,1.08161105,median_qd_cycles_2_to_5,1626.0,1626.0,0,1606.0,1606.0,0,1621.0,1621.0,0,1639,-205.0,0,0.82608759,continued_from_b2c15,1,1606.0
b1c30,matr,b1,100,1.0814074,0.0015437000000000367,1.0014295322641182,-1.6368218923923603e-05,6.757359250586671e-07,0.003954500000000083,0.0012190000000000811,0.00034751279031803044,-0.7652602281218502,-1.8658517114352622,1.0833608,1.5752040816326906e-05,709.0,1.08151455,median_qd_cycles_2_to_5,,709.0,1,679.0,679.0,0,,709.0,1,708,1.0,0,0.88054287,native,1,679.0
b1c31,matr,b1,100,1.0953494,0.0007101999999998831,1.0006487982524286,-2.6201082251071004e-05,9.54822771388661e-07,0.003694199999999981,0.0013121000000000382,0.0003985744375728918,-0.4647006063197892,-13.771428890274306,1.0981392,7.2469387755090115e-06,876.0,1.0963314,median_qd_cycles_2_to_5,,876.0,1,827.0,827.0,0,,876.0,1,875,1.0,0,0.88099223,native,1,827.0
b1c32,matr,b1,100,1.0793804,0.001543800000000095,1.0014323135807413,-1.277627210883155e-05,4.931551303785259e-07,0.003820099999999993,0.0006247999999999809,0.00017024989508468023,-1.082839587552643,-1.9168496898336127,1.0810486,1.5753061224490765e-05,731.0,1.0792755,median_qd_cycles_2_to_5,,731.0,1,694.0,694.0,0,,731.0,1,730,1.0,0,0.88080907,native,1,694.0
b1c33,matr,b1,100,1.0937657,0.0012749000000000787,1.0011669663488243,-2.1812165739008744e-05,8.863108519824446e-07,0.004335399999999989,0.0009082000000000257,0.0002097360975844291,-0.6539179476133509,-3.1005291895411746,1.0961914,1.3009183673470192e-05,757.0,1.0942233,median_qd_cycles_2_to_5,,757.0,1,708.0,708.0,0,,757.0,1,756,1.0,0,0.88011229,native,1,708.0
b1c34,matr,b1,100,1.0794187,0.0028013000000000066,1.002601945686555,-3.129647495232311e-07,5.236036147250373e-07,0.004865000000000119,0.0012524000000000424,0.0004598976881234039,-1.5905728173297435,-0.7718097169093195,1.0798281,2.858469387755109e-05,742.0,1.07806275,median_qd_cycles_2_to_5,,742.0,1,714.0,714.0,0,,742.0,1,741,1.0,0,0.88205445,native,1,714.0
b1c35,matr,b1,100,1.0739936,0.0032472000000001167,1.0030326508685905,3.195320964756719e-06,4.888195490072439e-07,0.00507919999999995,0.0012404999999999777,0.00039551701557916997,-2.2121586361421497,-0.658329593872638,1.0741303,3.313469387755221e-05,703.0,1.07233895,median_qd_cycles_2_to_5,,703.0,1,676.0,676.0,0,,703.0,1,702,1.0,0,0.8802399,native,1,676.0
b1c36,matr,b1,100,1.0802411,0.0024096000000000117,1.0022355999059223,-7.183043908470364e-06,4.996298185695343e-07,0.004527799999999971,0.001249100000000114,0.00038981792093580357,-1.5761880547750438,-1.229178332743726,1.081539,2.4587755102040937e-05,704.0,1.0795122,median_qd_cycles_2_to_5,,704.0,1,670.0,670.0,0,,704.0,1,703,1.0,0,0.88231802,native,1,670.0
b1c37,matr,b1,100,1.0768065,0.0019871000000000194,1.0018487757105985,-9.680958565230538e-06,5.726424927456485e-07,0.004472400000000043,0.0012495999999999619,0.0003864089519183867,-1.0730106192984303,-1.3824064888434928,1.0783199,2.0276530612245094e-05,648.0,1.0763613,median_qd_cycles_2_to_5,,648.0,1,622.0,622.0,0,,648.0,1,647,1.0,0,0.88336319,native,1,622.0
b1c38,matr,b1,100,1.0749754,0.002024100000000084,1.0018864789110187,-9.437124304253403e-06,4.135994688521607e-07,0.003646500000000108,0.00034559999999994595,0.0001614048649902646,-1.2843512163486013,-1.1781003216440156,1.0760679,2.065408163265392e-05,617.0,1.074173,median_qd_cycles_2_to_5,,617.0,1,592.0,592.0,0,,617.0,1,616,1.0,0,0.88110942,native,1,592.0
b1c39,matr,b1,100,1.0847629,0.0029856000000001437,1.0027599026158158,-3.29447742732208e-06,4.81457680908073e-07,0.004689399999999955,0.00044900000000014373,0.0001886974811930043,-2.452356447628806,-0.776262729268755,1.0856049,3.0465306122450445e-05,625.0,1.08353305,median_qd_cycles_2_to_5,,625.0,1,592.0,592.0,0,,625.0,1,624,1.0,0,0.88011074,native,1,592.0
b1c4,matr,b1,100,1.0826457,0.004229000000000038,1.0039214897172866,1.8994317872615252e-05,1.1869759704336124e-06,0.006298499999999985,0.0036754000000001064,0.0005013539191893871,-2.495682679576637,-0.2569837106944206,1.0819536,4.3153061224490184e-05,1709.0,1.0793795,median_qd_cycles_2_to_5,1708.0,1708.0,0,1681.0,1681.0,0,1698.0,1698.0,0,1725,-16.0,0,0.82648873,continued_from_b2c16,1,1681.0
b1c40,matr,b1,100,1.0857353,0.0024324000000000012,1.0022453553849067,-8.204863327142272e-06,5.281183716273831e-07,0.004503299999999877,0.0004383000000001136,0.00018826819827434232,-1.830768443301099,-1.173899170902736,1.0871686,2.4820408163265318e-05,966.0,1.0850124,median_qd_cycles_2_to_5,,966.0,1,919.0,919.0,0,,966.0,1,965,1.0,0,0.88060951,native,1,919.0
b1c41,matr,b1,100,1.0821686,0.0032071999999998546,1.002972488172422,-1.3855287568735692e-07,4.33037936494228e-07,0.0049074999999998425,0.0005109999999999282,0.00018828419658558656,-3.0063340154749048,-0.7703051648422786,1.0827476,3.272653061224341e-05,1051.0,1.0806673,median_qd_cycles_2_to_5,,1051.0,1,1005.0,1005.0,0,,1051.0,1,1050,1.0,0,0.88106161,native,1,1005.0
b1c42,matr,b1,100,1.0832821,0.0034095999999999016,1.0031574097868035,2.1135980210352072e-06,4.048936819610244e-07,0.004959500000000006,0.000501600000000213,0.00019576288222186494,-3.458085734885571,-0.7350100374455398,1.0837516,3.479183673469287e-05,702.0,1.08175435,median_qd_cycles_2_to_5,,702.0,1,661.0,661.0,0,,702.0,1,701,1.0,0,0.88035142,native,1,661.0
b1c43,matr,b1,100,1.0688359,0.0005969999999999587,1.0005588637522935,-2.4014810142235067e-05,7.872030602775073e-07,0.003432099999999938,0.0005279999999998619,0.00017006101526496458,-0.5467643481333773,-9.222181619401832,1.0714344,6.091836734693456e-06,651.0,1.069749,median_qd_cycles_2_to_5,,651.0,1,626.0,626.0,0,,651.0,1,650,1.0,0,0.88044435,native,1,626.0
b1c44,matr,b1,100,1.0847102,-5.8000000000113516e-05,0.9999465323559447,-3.361546072973778e-05,1.2695074992000909e-06,0.003620399999999968,0.0006517999999999802,0.00018856363764937242,-0.3601374165795634,13.304620813041293,1.0882163,-5.918367346950359e-07,616.0,1.08643345,median_qd_cycles_2_to_5,,616.0,1,575.0,575.0,0,,616.0,1,615,1.0,0,0.88048309,native,1,575.0
b1c45,matr,b1,100,1.0858277,0.0018719000000000374,1.0017269154332678,-1.2920053184893674e-05,5.857313851260048e-07,0.004482499999999945,0.0007681000000001603,0.00019333962847211728,-1.0637084392301424,-1.8733249977362356,1.0875177,1.9101020408163646e-05,599.0,1.08563255,median_qd_cycles_2_to_5,,599.0,1,563.0,563.0,0,,599.0,1,598,1.0,0,0.88104212,native,1,563.0
b1c5,matr,b1,100,1.0797794,0.0036528000000000116,1.003394396161195,1.1228400742129884e-05,1.0861249794265882e-06,0.0069014000000000575,0.005331100000000033,0.0006581213436514532,-2.5420627255894535,-0.48072559245361823,1.080176,3.727346938775522e-05,1074.0,1.07712635,median_qd_cycles_2_to_5,,1074.0,1,909.0,909.0,0,,1074.0,1,1073,1.0,0,0.88053626,native,1,909.0
b1c6,matr,b1,100,1.0792426,0.003406800000000043,1.003166654242218,-4.808646876924093e-06,1.3123429669421754e-06,0.006303200000000064,0.003816599999999948,0.0004847523919566621,-1.6663669364500382,-0.7574718161702586,1.0811012,3.476326530612289e-05,636.0,1.0778327,median_qd_cycles_2_to_5,,636.0,1,613.0,613.0,0,,636.0,1,635,1.0,0,0.8800565,native,1,613.0
b1c7,matr,b1,100,1.0957625,0.0018981000000000137,1.001735224219748,-6.4281880024581415e-06,6.59143656126923e-07,0.004104200000000002,0.003628599999999871,0.0006031309237157408,-1.3157317079880955,-0.9897225814235697,1.097587,1.9368367346938914e-05,870.0,1.09553235,median_qd_cycles_2_to_5,,870.0,1,818.0,818.0,0,,870.0,1,869,1.0,0,0.88110596,native,1,818.0
b1c8,matr,b1,100,1.0941359,0.004161099999999918,1.0038176111961488,5.429254174399952e-06,7.540996417345025e-07,0.005939099999999975,0.0006089999999998597,0.00019619004569173902,-2.897496968019916,-0.5631377104288707,1.0941397,4.246020408163181e-05,879.0,1.0916926999999998,median_qd_cycles_2_to_5,,879.0,1,,879.0,1,,879.0,1,878,1.0,0,0.96902454,native,0,879.0
b1c9,matr,b1,100,1.0876312,0.004656999999999911,1.0043001947784167,1.8204385899829277e-05,9.452788463360952e-07,0.005975700000000028,0.000579499999999955,0.0001601561438091958,-2.8865962774213463,-0.30881190625651556,1.0866315,4.75204081632644e-05,1054.0,1.08395785,median_qd_cycles_2_to_5,,1054.0,1,1012.0,1012.0,0,,1054.0,1,1053,1.0,0,0.8809284,native,1,1012.0
b2c0,matr,b2,100,1.1052729,0.003267799999999932,1.0029653220298163,1.373756833643947e-05,9.577930615606554e-06,0.016458400000000095,0.01415080000000013,0.002035227830957147,-1.2760435115773936,13.5807068490703,1.1037184,3.334489795918298e-05,477.0,1.1032914,median_qd_cycles_2_to_5,475.0,475.0,0,453.0,453.0,0,477.0,477.0,0,496,-19.0,0,0.82661337,native,1,453.0
b2c1,matr,b2,100,1.1015422,-0.004240400000000033,0.9961652498420576,-3.290422139763861e-05,1.1687272408670543e-05,0.015046600000000021,0.01244999999999985,0.00191043608171752,-1.3179309109256272,10.637858436994586,1.1083114,-4.3269387755102375e-05,491.0,1.1060249999999998,median_qd_cycles_2_to_5,489.0,489.0,0,461.0,461.0,0,491.0,491.0,0,513,-22.0,0,0.82848173,native,1,461.0
b2c10,matr,b2,100,1.1162933,0.00701509999999983,1.0063240222335568,5.4494455906012585e-05,0.00013457586370762048,0.11804643999999997,0.11510614000000008,0.01584637874014759,-9.2720790862096,-0.827400131080166,1.1099281,7.158265306122276e-05,492.0,1.1097726,median_qd_cycles_2_to_5,489.0,489.0,0,461.0,461.0,0,492.0,492.0,0,519,-27.0,0,0.82791102,native,1,461.0
b2c11,matr,b2,100,1.1086942,0.012777099999999875,1.0116588198140168,0.00011636928385901053,0.00020437211629729005,0.14617939999999996,0.13904320000000003,0.019736691734055962,-9.161893642889892,-0.817603093253815,1.0982223,0.00013037857142857016,449.0,1.0970887,median_qd_cycles_2_to_5,450.0,450.0,0,430.0,430.0,0,449.0,449.0,0,468,-19.0,0,0.82524824,native,1,430.0
b2c12,matr,b2,100,1.1065857,0.0049399999999999444,1.0044842003195764,3.124443661101217e-05,4.384013583975092e-06,0.01353749999999998,0.010587799999999925,0.0016316729148189491,-1.0019988475355557,6.1275894478567885,1.1027151,5.0408163265305554e-05,466.0,1.1030378,median_qd_cycles_2_to_5,465.0,465.0,0,435.0,435.0,0,466.0,466.0,0,493,-27.0,0,0.82528538,native,1,435.0
b2c13,matr,b2,100,1.0951428,-0.0002936999999998413,0.999731887699561,-1.144594434136377e-05,2.1261609906417674e-06,0.007968500000000045,0.006237800000000071,0.001457158501978628,-1.0230823700240308,-1.1755295731235618,1.0968143,-2.9969387755085846e-06,460.0,1.0957949,median_qd_cycles_2_to_5,462.0,462.0,0,436.0,436.0,0,460.0,460.0,0,483,-23.0,0,0.82574999,native,1,436.0
b2c14,matr,b2,100,1.0776343,-0.006854300000000091,0.9936796938206635,-0.0001016570562770468,1.2377510605472932e-05,0.013525899999999869,0.008760600000000007,0.001403928282656039,-0.002987059890558667,-0.40365243336643614,1.0849262,-6.994183673469481e-05,426.0,1.0845337000000002,median_qd_cycles_2_to_5,433.0,433.0,0,403.0,403.0,0,426.0,426.0,0,461,-35.0,0,0.82618046,native,1,403.0
b2c15,matr,b2,100,1.0770745,0.007325099999999862,1.0068474915713903,9.204142609773131e-05,9.157571606354403e-06,0.01032529999999987,0.0033047999999999966,0.0012037564269155299,-0.24398261766998236,-0.06392207242948479,1.0711806,7.474591836734554e-05,396.0,1.070032,median_qd_cycles_2_to_5,404.0,404.0,0,385.0,385.0,0,396.0,396.0,0,414,-18.0,0,0.82608759,native,1,385.0
b2c16,matr,b2,100,1.0940695,-0.0004667999999998784,0.9995735180276799,-1.5038863327142703e-05,3.935591712800728e-06,0.01050949999999995,0.01050949999999995,0.0016375676848692652,-0.4945734143885305,2.244352643115156,1.0965556,-4.763265306121209e-06,472.0,1.0960515,median_qd_cycles_2_to_5,475.0,475.0,0,447.0,447.0,0,472.0,472.0,0,499,-27.0,0,0.82648873,native,1,447.0
b2c17,matr,b2,100,1.0944375,0.002719799999999939,1.0024913033836493,3.904175881262371e-05,4.954712418989918e-06,0.01921750000000011,0.016055000000000152,0.0026059574114412993,3.788075580786117,-1.7251619491521468,1.09258,2.7753061224489173e-05,471.0,1.0918908,median_qd_cycles_2_to_5,474.0,474.0,0,447.0,447.0,0,471.0,471.0,0,494,-23.0,0,0.8272146,native,1,447.0
b2c18,matr,b2,100,1.0858426,0.010213400000000039,1.0094952796000705,0.00011339298701299902,1.2421352232588503e-05,0.012947500000000112,0.003798799999999991,0.0010506319815630357,-0.2199628970244673,0.21856263291324707,1.0786648,0.00010421836734693917,449.0,1.07619675,median_qd_cycles_2_to_5,456.0,456.0,0,437.0,437.0,0,449.0,449.0,0,467,-18.0,0,0.82719898,native,1,437.0
b2c19,matr,b2,100,1.0930592,0.0028185999999998934,1.0025853008959673,2.1983457019182867e-05,8.06054485467608e-06,0.01644369999999995,0.01644369999999995,0.0021166172543843754,-0.9275394888781431,1.5670635231126788,1.0924506,2.876122448979483e-05,392.0,1.09146485,median_qd_cycles_2_to_5,396.0,396.0,0,375.0,375.0,0,392.0,392.0,0,411,-19.0,0,0.82597393,native,1,375.0
b2c2,matr,b2,100,1.0728362,-0.0025500999999998886,0.9976286660895718,-5.3960603586805125e-06,0.0001262638420084928,0.11325008000000003,0.11198607999999988,0.015325015297556631,-8.943731571079322,-0.4999602163611181,1.078596,-2.6021428571427435e-05,424.0,1.0751113499999998,median_qd_cycles_2_to_5,430.0,430.0,0,415.0,415.0,0,424.0,424.0,0,439,-15.0,0,0.82700932,native,1,415.0
b2c20,matr,b2,100,1.1038647,0.0061388,1.0055922885667543,2.8384829931985655e-05,4.452856675022953e-06,0.011342100000000022,0.009011000000000102,0.0014209790993477103,-0.5587952878350927,3.0554678663069144,1.1000065,6.264081632653061e-05,489.0,1.09799415,median_qd_cycles_2_to_5,490.0,490.0,0,471.0,471.0,0,489.0,489.0,0,506,-17.0,0,0.82856864,native,1,471.0
b2c21,matr,b2,100,1.1000447,0.0014510999999999274,1.001320870611298,3.546821447124778e-05,0.00012206522289197837,0.11263568000000013,0.11237377999999998,0.015412656480449604,-9.250066596310592,-0.7695597580388355,1.102361,1.4807142857142117e-05,408.0,1.0992943,median_qd_cycles_2_to_5,408.0,408.0,0,386.0,386.0,0,408.0,408.0,0,426,-18.0,0,0.82783753,native,1,386.0
b2c22,matr,b2,100,1.0839342,-0.0073848999999999165,0.9932330516344854,0.0006255910350031046,0.011707878102143798,1.17854457,1.0843060999999998,0.15520760051146337,9.79712459854777,-12.152600419239173,1.0933094,-7.535612244897875e-05,,1.09217965,median_qd_cycles_2_to_5,,921.0,1,,921.0,1,,921.0,1,920,,0,1.0556005,native,1,921.0
b2c23,matr,b2,100,1.0753278,-0.015132400000000157,0.986122923147493,0.0005160051214595007,0.01160288783686797,1.21898871,1.075023,0.15445208832572271,9.575435573642253,485.7910306068963,1.0919091,-0.00015441224489796078,,1.09050145,median_qd_cycles_2_to_5,,1153.0,1,,1153.0,1,,1153.0,1,1152,,0,0.97824305,native,1,1153.0
b2c24,matr,b2,100,1.1019264,0.009624700000000042,1.0088113934089822,4.3255097093394744e-05,5.815531801410113e-06,0.014937100000000036,0.011801799999999973,0.0018353306138734202,-0.5268753226730308,5.802156056580594,1.0956398,9.821122448979634e-05,514.0,1.09316,median_qd_cycles_2_to_5,518.0,518.0,0,490.0,490.0,0,514.0,514.0,0,536,-22.0,0,0.82615805,native,1,490.0
b2c25,matr,b2,100,1.1063702,0.007532199999999989,1.006854695596621,3.860060482376233e-05,5.918903705517772e-06,0.013614299999999968,0.011566299999999918,0.0018685310363609606,-0.8825331119273143,3.102085443807673,1.1010141,7.685918367346927e-05,493.0,1.0991886,median_qd_cycles_2_to_5,493.0,493.0,0,475.0,475.0,0,493.0,493.0,0,511,-18.0,0,0.82751423,native,1,475.0
b2c26,matr,b2,100,1.1065354,0.002183200000000163,1.0019769055560357,-1.2231956709943128e-05,4.633313261716172e-06,0.010781900000000011,0.008816799999999958,0.0013970910736482,-1.356876010029341,-10.656482025721173,1.1064944,2.2277551020409826e-05,450.0,1.1053247,median_qd_cycles_2_to_5,449.0,449.0,0,423.0,423.0,0,450.0,450.0,0,476,-26.0,0,0.82529837,native,1,423.0
b2c27,matr,b2,100,1.1031471,0.010578899999999836,1.0096825992189777,8.3227929499087e-05,7.345888534233239e-06,0.01260059999999985,0.004038999999999904,0.0012492464751029328,0.5148003867739894,2.280097433854126,1.0961983,0.0001079479591836718,474.0,1.0944814,median_qd_cycles_2_to_5,476.0,476.0,0,455.0,455.0,0,474.0,474.0,0,493,-19.0,0,0.8266983,native,1,455.0
